"State","Year","AnnualAVG","AnnualAVG_percent","Population 18-24","Population 25-44","Population 45-64","Male Population","White Alone","Hispanic","GDP","Description","MinWage","Median Income","Population","PopulationMillions","Region","TreatYear","Treated"
"Alaska",2000,299606.333333333,68.7,57670,202899,140673,324750,"446506","25963",2453590,"All industry total ",5.65,90360,627.963,0.627963,"W",2014,0
"Alaska",2001,301400.916666667,68,61774,198158,147596,328135,"448602","27989",2267456,"All industry total ",5.65,95920,633.714,0.633714,"W",2014,0
"Alaska",2002,303681.583333333,67.175,65287,194428,155272,332704,"452784","29943",2085439,"All industry total ",5.65,87160,642.337,0.642337,"W",2014,0
"Alaska",2003,306808.833333333,66.6833333333333,68253,190773,162136,335380,"454912","31417",2199269,"All industry total ",7.15,83860,648.414,0.648414,"W",2014,0
"Alaska",2004,312354,66.325,71882,189864,169057,341479,"460845","32879",2407692,"All industry total ",7.15,86900,659.286,0.659286,"W",2014,0
"Alaska",2005,320288.5,66.7,73591,188753,175353,346026,"464201","34422",2749011,"All industry total ",7.15,85730,666.946,0.666946,"W",2014,0
"Alaska",2006,325653.333333333,66.45,74369,188470,181283,350181,"468452","35505",3091131,"All industry total ",7.15,84100,675.302,0.675302,"W",2014,0
"Alaska",2007,328279.25,66.2,74383,188612,185355,353162,"469996","36229",4791255,"All industry total ",7.15,91550,680.3,0.6803,"W",2014,0
"Alaska",2008,332328.416666667,66.2416666666667,75206,189673,189130,358043,"472582","37256",9993831,"All industry total ",7.15,89710,687.455,0.687455,"W",2014,0
"Alaska",2009,330858.166666667,64.625,73249,191023,195393,361893,"477369","38232",4568799,"All industry total ",7.15,86710,698.895,0.698895,"W",2014,0
"Alaska",2010,332196.166666667,64.0666666666667,75364,197500,197522,371634,"485929","40011",5724709,"All industry total ",7.75,80320,713.982,0.713982,"W",2014,0
"Alaska",2011,336210.5,63.6083333333333,76152,200218,199118,375929,"489253","42078",7236332,"All industry total ",7.75,77340,722.349,0.722349,"W",2014,0
"Alaska",2012,337915,63.1583333333333,77789,203664,198416,381032,"492463","45121",7717312,"All industry total ",7.75,84090,730.81,0.73081,"W",2014,0
"Alaska",2013,338208.75,62.7916666666667,79723,207131,196069,385939,"494334","47540",8251069,"All industry total ",7.75,94600,737.626,0.737626,"W",2014,0
"Alaska",2014,339774.916666667,62.875,78685,208194,193200,385994,"491682","49104",5488234,"All industry total ",7.75,87040,737.075,0.737075,"W",2014,1
"Alaska",2015,339579.166666667,62.575,77020,209661,191327,386716,"490194","50380",2830745,"All industry total ",8.75,96750,738.43,0.73843,"W",2014,1
"Alaska",2016,338218.75,61.875,74647,213139,189347,388632,"490043","51835",3186309,"All industry total ",9.75,96680,742.575,0.742575,"W",2014,1
"Alaska",2017,337080.666666667,61.6666666666667,71898,214003,186610,386986,"485311","53005",3649124,"All industry total ",9.8,97850,740.983,0.740983,"W",2014,1
"Alaska",2018,334012.916666667,61.1916666666667,69897,213808,182647,384304,"480179","53369",4242451,"All industry total ",9.84,84540,736.624,0.736624,"W",2014,1
"Alaska",2019,333436.25,61.1916666666667,68395,214367,178846,382813,"476519","53622",4153991,"All industry total ",9.89,95010,733.603,0.733603,"W",2014,1
"Alaska",2020,318157.166666667,58.3916666666667,66886,214355,177674,385216,"473610","50522",2054031,"All industry total ",10.19,89650,733.017,0.733017,"W",2014,1
"Alaska",2021,330492.25,60.55,67376,215908,174185,385954,"473093","52160",2804208,"All industry total ",10.34,93150,734.42,0.73442,"W",2014,1
"Alaska",2022,342389.75,62.6083333333333,67103,217452,170821,385737,"472012","53509",4678103,"All industry total ",10.34,95670,734.442,0.734442,"W",2014,1
"Arizona",2007,2905974.75,61.05,605860,1682760,1468199,3070683,"5290642","1773645",18367731,"All industry total ",6.75,68620,6167.681,6.167681,"W",2020,0
"Arizona",2008,2916001.41666667,59.8916666666667,621451,1690369,1507727,3125084,"5361814","1830866",17750773,"All industry total ",6.9,65770,6280.362,6.280362,"W",2020,0
"Arizona",2009,2827397.33333333,57.1083333333333,629438,1685082,1540845,3153246,"5391934","1866820",17062214,"All industry total ",7.25,64380,6343.154,6.343154,"W",2020,0
"Arizona",2010,2777583.58333333,56.725,635953,1681038,1574810,3184011,"5428205","1903368",17465240,"All industry total ",7.25,65120,6407.342,6.407342,"W",2020,0
"Arizona",2011,2763680.33333333,56.0916666666667,649362,1690714,1597293,3218148,"5466291","1936020",18745399,"All industry total ",7.35,65480,6473.416,6.473416,"W",2020,0
"Arizona",2012,2799914.75,55.925,663357,1704359,1601411,3259698,"5518374","1974324",19108826,"All industry total ",7.65,62160,6556.344,6.556344,"W",2020,0
"Arizona",2013,2825940.5,55.5583333333333,670402,1719889,1611709,3297562,"5565999","2013059",19429812,"All industry total ",7.8,68680,6634.69,6.63469,"W",2020,0
"Arizona",2014,2906136,56.1166666666667,677789,1742019,1627920,3347316,"5630353","2058295",19750313,"All industry total ",7.9,63390,6732.873,6.732873,"W",2020,0
"Arizona",2015,2991341,56.6916666666667,677575,1766165,1650621,3397442,"5697673","2107701",19793308,"All industry total ",8.05,67300,6832.81,6.83281,"W",2020,0
"Arizona",2016,3075608.08333333,57.125,678647,1796394,1675892,3452321,"5771056","2157151",20965198,"All industry total ",8.05,72900,6944.767,6.944767,"W",2020,0
"Arizona",2017,3079252.75,57.6416666666667,676860,1829133,1696101,3502772,"5841128","2207320",21775235,"All industry total ",10,74900,7048.088,7.048088,"W",2020,0
"Arizona",2018,3165767.16666667,58.2666666666667,687791,1865377,1713350,3560169,"5923424","2258904",23186302,"All industry total ",10.5,76600,7164.228,7.164228,"W",2020,0
"Arizona",2019,3266061.5,58.9833333333333,696150,1906206,1731972,3622802,"6013191","2313157",23966347,"All industry total ",11,85650,7291.843,7.291843,"W",2020,0
"Arizona",2020,3198734.25,56.5416666666667,673819,1876683,1724610,3590669,"5905101","2206745",10452590,"All industry total ",12,80470,7187.135,7.187135,"W",2020,1
"Arizona",2021,3352555.5,58.2416666666667,674555,1913523,1734917,3632134,"5965120","2251262",16395138,"All industry total ",12.15,81310,7274.078,7.274078,"W",2020,1
"Arizona",2022,3475797.83333333,59.325,695992,1951079,1739649,3681090,"6026817","2307098",29337298,"All industry total ",12.8,78300,7377.566,7.377566,"W",2020,1
"Arkansas",2000,1208040.16666667,59.6166666666667,263749,749201,610756,1307573,"2186443","87804",3928456,"All industry total ",5.15,50780,2678.588,2.678588,"S",NA,0
"Arkansas",2001,1201103,58.8916666666667,268131,743315,625960,1314726,"2193483","96526",3978340,"All industry total ",5.15,55750,2691.571,2.691571,"S",NA,0
"Arkansas",2002,1209163.41666667,58.9166666666667,272203,737150,642505,1322688,"2202027","105694",4589566,"All industry total ",5.15,53490,2705.927,2.705927,"S",NA,0
"Arkansas",2003,1208365,58.4166666666667,275122,734963,657421,1333293,"2214256","115624",4468974,"All industry total ",5.15,51770,2724.816,2.724816,"S",NA,0
"Arkansas",2004,1229482,58.8916666666667,275779,736873,673738,1346638,"2231084","125103",5499191,"All industry total ",5.15,55210,2749.686,2.749686,"S",NA,0
"Arkansas",2005,1263888.08333333,59.8166666666667,274439,741013,691183,1362802,"2253503","137148",6175800,"All industry total ",5.15,56230,2781.097,2.781097,"S",NA,0
"Arkansas",2006,1275727.5,59.5416666666667,273882,747504,709982,1383333,"2281831","149583",6650933,"All industry total ",5.15,55240,2821.761,2.821761,"S",NA,0
"Arkansas",2007,1278038,58.9916666666667,275325,747162,724609,1397292,"2301121","160397",6605104,"All industry total ",6.25,59290,2848.65,2.84865,"S",NA,0
"Arkansas",2008,1283968.25,58.725,278835,745354,737074,1410334,"2317769","170231",6726738,"All industry total ",6.25,55500,2874.554,2.874554,"S",NA,0
"Arkansas",2009,1248756.33333333,56.6666666666667,281953,743283,749138,1421830,"2331280","179039",6463327,"All industry total ",6.25,51430,2896.843,2.896843,"S",NA,0
"Arkansas",2010,1247317.5,55.8583333333333,285532,743037,760233,1434725,"2346352","187452",7064173,"All industry total ",6.25,53580,2921.998,2.921998,"S",NA,0
"Arkansas",2011,1250285.58333333,55.4666666666667,289674,745572,766496,1444411,"2357574","193404",7279567,"All industry total ",6.25,55620,2941.038,2.941038,"S",NA,0
"Arkansas",2012,1252173.41666667,55.25,290978,747540,760659,1450467,"2362125","198760",7758594,"All industry total ",6.25,51550,2952.876,2.952876,"S",NA,0
"Arkansas",2013,1237985.58333333,54.3666666666667,291411,749043,757161,1453888,"2363967","203416",8221617,"All industry total ",6.25,51400,2960.459,2.960459,"S",NA,0
"Arkansas",2014,1249645.83333333,54.6416666666667,290670,750573,754384,1457950,"2366231","207678",8399240,"All industry total ",6.25,57820,2968.759,2.968759,"S",NA,0
"Arkansas",2015,1273048.66666667,55.3833333333333,287228,753918,755177,1463916,"2369760","212796",8381533,"All industry total ",7.5,55130,2979.732,2.979732,"S",NA,0
"Arkansas",2016,1290424.58333333,55.825,283524,757797,756484,1469966,"2373398","218384",8530093,"All industry total ",8,58610,2991.815,2.991815,"S",NA,0
"Arkansas",2017,1297741.33333333,56.125,281000,762433,755755,1475907,"2378313","225078",8862793,"All industry total ",8.5,62420,3003.855,3.003855,"S",NA,0
"Arkansas",2018,1294713.75,55.7916666666667,280428,765148,752359,1479090,"2381131","230632",9256974,"All industry total ",8.5,61230,3012.161,3.012161,"S",NA,0
"Arkansas",2019,1307249,56.075,278948,768745,747995,1482909,"2384331","236539",8936627,"All industry total ",9.25,66100,3020.985,3.020985,"S",NA,0
"Arkansas",2020,1263601.25,53.875,277271,767630,745808,1488860,"2372588","257973",5560855,"All industry total ",10,60900,3014.546,3.014546,"S",NA,0
"Arkansas",2021,1285529.91666667,54.4333333333333,281030,774719,741240,1495032,"2379475","265408",7153731,"All industry total ",11,58310,3026.87,3.02687,"S",NA,0
"Arkansas",2022,1323923.83333333,55.6416666666667,282839,782440,738910,1504783,"2392201","276332",11722263,"All industry total ",11,57540,3047.704,3.047704,"S",NA,0
"California",2000,16012264.8333333,63.75,3391356,10724282,6996801,16937562,"26421365","11054553",79150894,"All industry total ",5.75,80050,33987.977,33.987977,"W",2016,0
"California",2001,16157987.9166667,63.3083333333333,3488933,10750718,7262695,17185235,"26685881","11383962",74449454,"All industry total ",6.25,79030,34479.458,34.479458,"W",2016,0
